committee,lawmaker,role
house-appropriations,"Jones, Llew",chair
house-appropriations,"Bedey, David",vice-chair
house-appropriations,"Mercer, Bill",member
house-appropriations,"Caferro, Mary",member
house-appropriations,"Albus, Eric",member
house-appropriations,"Barker, Brad",member
house-appropriations,"Crowe, Thedis",member
house-appropriations,"Falk, Terry",member
house-appropriations,"Fitzpatrick, John",member
house-appropriations,"Fox, Mike",member
house-appropriations,"Gillette, Jane",member
house-appropriations,"Hawk, Donavon",member
house-appropriations,"Keogh, Connie",member
house-appropriations,"Matthews, Eric",member
house-appropriations,"Muszkiewicz, Luke",member
house-appropriations,"Nave, Fiona",member
house-appropriations,"Nicastro, Anthony",member
house-appropriations,"Powers, Debo",member
house-appropriations,"Rosenzweig, Scott",member
house-appropriations,"Schillinger, Jerry",member
house-appropriations,"Tuss, Paul",member
house-appropriations,"Vinton, Mike",member
house-appropriations,"Walsh, Ken",member
house-judiciary,"Regier, Amy",chair
house-judiciary,"Deming, Lee",vice-chair
house-judiciary,"France, Tom",vice-chair
house-judiciary,"Baum, Denise",member
house-judiciary,"Cunningham, Melody",member
house-judiciary,"Etchart, Jodee",member
house-judiciary,"Griffith, Alanah",member
house-judiciary,"Hinkle, Caleb",member
house-judiciary,"Hinkle, Jedediah",member
house-judiciary,"Howell, SJ",member
house-judiciary,"Kelly, Steven",member
house-judiciary,"Klakken, Shane",member
house-judiciary,"Kmetz, Greg",member
house-judiciary,"Millett, Tom",member
house-judiciary,"Mitchell, Braxton",member
house-judiciary,"Overstreet, Greg",member
house-judiciary,"Sharp, Tracy",member
house-judiciary,"Stafman, Ed",member
house-judiciary,"Strand, Peter",member
house-judiciary,"Zephyr, Zooey",member
house-business-and-labor,"Buttrey, Ed",chair
house-business-and-labor,"Seekins-Crowe, Kerri",vice-chair
house-business-and-labor,"Lynch, Jennifer",vice-chair
house-business-and-labor,"Carter, Bob",member
house-business-and-labor,"DeMarois, Scott",member
house-business-and-labor,"Fitzpatrick, Sidney",member
house-business-and-labor,"Fitzpatrick, Steve",member
house-business-and-labor,"Gist, Steve",member
house-business-and-labor,"Isaly, Jamie",member
house-business-and-labor,"Karlen, Jonathan",member
house-business-and-labor,"Ler, Brandon",member
house-business-and-labor,"Maness, Shannon",member
house-business-and-labor,"Marshall, Ron",member
house-business-and-labor,"Nicol, Nelly",member
house-business-and-labor,"Oblander, Greg",member
house-business-and-labor,"Schomer, Curtis",member
house-business-and-labor,"Seckinger, Joshua",member
house-business-and-labor,"Sprunger, Courtenay",member
house-business-and-labor,"Sullivan, Katie",member
house-business-and-labor,"Thiel, Morgan",member
house-taxation,"Fielder, Paul",chair
